case_study,scenario,value,reference,variable
iron_and_steel_b,baseline,0.003,nawi,laboratory_cost_factor
iron_and_steel_b,baseline,0.002,nawi,insurance_taxes_cost_factor
iron_and_steel_b,baseline,0.7,nawi,default_cap_scaling_exp
iron_and_steel_b,baseline,0.7,nawi,default_opex_scaling_exp
iron_and_steel_b,baseline,0.4,nawi,cap_by_equity
iron_and_steel_b,baseline,0.08,nawi,debt_interest_rate
iron_and_steel_b,baseline,0.1,nawi,exp_return_on_equity
iron_and_steel_b,baseline,3.4,nawi,default_tpec_multiplier
iron_and_steel_b,baseline,1.65,nawi,default_tic_multiplier
iron_and_steel_b,baseline,0.0005,nawi,salary_cost_factor
iron_and_steel_b,baseline,1,nawi,utilization_factor
irwin,baseline,2020,nawi,basis_year
irwin,baseline,california,nawi,location_basis
irwin,baseline,30,nawi,plant_lifetime
irwin,baseline,0.0015,nawi,land_cost_factor
irwin,baseline,0.05,nawi,working_capital_factor
irwin,baseline,0.001,nawi,salaries_percent
irwin,baseline,0.9,nawi,benefits_cost_factor
irwin,baseline,0.008,nawi,maintenance_cost_factor
irwin,baseline,0.003,nawi,laboratory_cost_factor
irwin,baseline,0.002,nawi,insurance_taxes_cost_factor
irwin,baseline,0.7,nawi,default_cap_scaling_exp
irwin,baseline,0.7,nawi,default_opex_scaling_exp
irwin,baseline,0,nawi,cap_by_equity
irwin,baseline,0.05,nawi,debt_interest_rate
irwin,baseline,0.1,nawi,exp_return_on_equity
irwin,baseline,3.4,nawi,default_tpec_multiplier
irwin,baseline,1.65,nawi,default_tic_multiplier
irwin,baseline,0.0005,nawi,salary_cost_factor
irwin,baseline,1,nawi,utilization_factor
kbhdp,baseline,2020,nawi,basis_year
kbhdp,baseline,texas,nawi,location_basis
kbhdp,baseline,30,nawi,plant_lifetime
kbhdp,baseline,0.0015,nawi,land_cost_factor
kbhdp,baseline,0.05,nawi,working_capital_factor
kbhdp,baseline,0.001,nawi,salaries_percent
kbhdp,baseline,0.9,nawi,benefits_cost_factor
kbhdp,baseline,0.008,nawi,maintenance_cost_factor
kbhdp,baseline,0.003,nawi,laboratory_cost_factor
kbhdp,baseline,0.002,nawi,insurance_taxes_cost_factor
kbhdp,baseline,0.7,nawi,default_cap_scaling_exp
kbhdp,baseline,0.7,nawi,default_opex_scaling_exp
kbhdp,baseline,0,nawi,cap_by_equity
kbhdp,baseline,0.05,nawi,debt_interest_rate
kbhdp,baseline,0.1,nawi,exp_return_on_equity
kbhdp,baseline,3.4,nawi,default_tpec_multiplier
kbhdp,baseline,1.65,nawi,default_tic_multiplier
kbhdp,baseline,0.0005,nawi,salary_cost_factor
kbhdp,baseline,1,nawi,utilization_factor
kern_county,baseline,2020,nawi,basis_year
kern_county,baseline,california,nawi,location_basis
kern_county,baseline,30,nawi,plant_lifetime
kern_county,baseline,0.0015,nawi,land_cost_factor
kern_county,baseline,0.05,nawi,working_capital_factor
kern_county,baseline,0.001,nawi,salaries_percent
kern_county,baseline,0.9,nawi,benefits_cost_factor
kern_county,baseline,0.008,nawi,maintenance_cost_factor
kern_county,baseline,0.003,nawi,laboratory_cost_factor
kern_county,baseline,0.002,nawi,insurance_taxes_cost_factor
kern_county,baseline,0.7,nawi,default_cap_scaling_exp
kern_county,baseline,0.7,nawi,default_opex_scaling_exp
kern_county,baseline,0.4,nawi,cap_by_equity
kern_county,baseline,0.04,nawi,debt_interest_rate
kern_county,baseline,0.1,nawi,exp_return_on_equity
kern_county,baseline,3.4,nawi,default_tpec_multiplier
kern_county,baseline,1.65,nawi,default_tic_multiplier
kern_county,baseline,0.0005,nawi,salary_cost_factor
kern_county,baseline,1,nawi,utilization_factor
lithium,baseline,2020,nawi,basis_year
lithium,baseline,north carolina,nawi,location_basis
lithium,baseline,30,nawi,plant_lifetime
lithium,baseline,0.0015,nawi,land_cost_factor
lithium,baseline,0.05,nawi,working_capital_factor
lithium,baseline,0.001,nawi,salaries_percent
lithium,baseline,0.9,nawi,benefits_cost_factor
lithium,baseline,0.008,nawi,maintenance_cost_factor
lithium,baseline,0.003,nawi,laboratory_cost_factor
lithium,baseline,0.002,nawi,insurance_taxes_cost_factor
lithium,baseline,0.7,nawi,default_cap_scaling_exp
lithium,baseline,0.7,nawi,default_opex_scaling_exp
lithium,baseline,0.4,nawi,cap_by_equity
lithium,baseline,0.08,nawi,debt_interest_rate
lithium,baseline,0.1,nawi,exp_return_on_equity
lithium,baseline,3.4,nawi,default_tpec_multiplier
lithium,baseline,1.65,nawi,default_tic_multiplier
lithium,baseline,0.0005,nawi,salary_cost_factor
lithium,baseline,1,nawi,utilization_factor
monterey_one,baseline,2020,nawi,basis_year
monterey_one,baseline,california,nawi,location_basis
monterey_one,baseline,30,nawi,plant_lifetime
monterey_one,baseline,0.0015,nawi,land_cost_factor
monterey_one,baseline,0.05,nawi,working_capital_factor
monterey_one,baseline,0.001,nawi,salaries_percent
monterey_one,baseline,0.9,nawi,benefits_cost_factor
monterey_one,baseline,0.008,nawi,maintenance_cost_factor
monterey_one,baseline,0.003,nawi,laboratory_cost_factor
monterey_one,baseline,0.002,nawi,insurance_taxes_cost_factor
monterey_one,baseline,0.7,nawi,default_cap_scaling_exp
monterey_one,baseline,0.7,nawi,default_opex_scaling_exp
monterey_one,baseline,0,nawi,cap_by_equity
monterey_one,baseline,0.05,nawi,debt_interest_rate
monterey_one,baseline,0.1,nawi,exp_return_on_equity
monterey_one,baseline,3.4,nawi,default_tpec_multiplier
monterey_one,baseline,1.65,nawi,default_tic_multiplier
monterey_one,baseline,0.0005,nawi,salary_cost_factor
monterey_one,baseline,0.78,nawi,utilization_factor
ocwd,baseline,2020,nawi,basis_year
ocwd,baseline,california,nawi,location_basis
ocwd,baseline,35,nawi,plant_lifetime
ocwd,baseline,0.0015,nawi,land_cost_factor
ocwd,baseline,0.05,nawi,working_capital_factor
ocwd,baseline,0.001,nawi,salaries_percent
ocwd,baseline,0.9,nawi,benefits_cost_factor
ocwd,baseline,0.008,nawi,maintenance_cost_factor
ocwd,baseline,0.003,nawi,laboratory_cost_factor
ocwd,baseline,0.002,nawi,insurance_taxes_cost_factor
ocwd,baseline,0.7,nawi,default_cap_scaling_exp
ocwd,baseline,0.7,nawi,default_opex_scaling_exp
ocwd,baseline,0,nawi,cap_by_equity
ocwd,baseline,0.02,nawi,debt_interest_rate
ocwd,baseline,0.1,nawi,exp_return_on_equity
ocwd,baseline,3.4,nawi,default_tpec_multiplier
ocwd,baseline,1.65,nawi,default_tic_multiplier
ocwd,baseline,0.0005,nawi,salary_cost_factor
ocwd,baseline,0.93,nawi,utilization_factor
produced_water_injection,baseline,2020,nawi,basis_year
produced_water_injection,baseline,texas,nawi,location_basis
produced_water_injection,baseline,15,nawi,plant_lifetime
produced_water_injection,baseline,0.0015,nawi,land_cost_factor
produced_water_injection,baseline,0.05,nawi,working_capital_factor
produced_water_injection,baseline,0.001,nawi,salaries_percent
produced_water_injection,baseline,0.9,nawi,benefits_cost_factor
produced_water_injection,baseline,0.008,nawi,maintenance_cost_factor
produced_water_injection,baseline,0.002667,nawi,laboratory_cost_factor
produced_water_injection,baseline,0.001867,nawi,insurance_taxes_cost_factor
produced_water_injection,baseline,0.7,nawi,default_cap_scaling_exp
produced_water_injection,baseline,0.7,nawi,default_opex_scaling_exp
produced_water_injection,baseline,0.4,nawi,cap_by_equity
produced_water_injection,baseline,0.08,nawi,debt_interest_rate
produced_water_injection,baseline,0.1,nawi,exp_return_on_equity
produced_water_injection,baseline,3.4,nawi,default_tpec_multiplier
produced_water_injection,baseline,1.65,nawi,default_tic_multiplier
produced_water_injection,baseline,0.0005,nawi,salary_cost_factor
produced_water_injection,baseline,1,nawi,utilization_factor
pulp_and_paper,baseline,2020,nawi,basis_year
pulp_and_paper,baseline,washington,nawi,location_basis
pulp_and_paper,baseline,20,nawi,plant_lifetime
pulp_and_paper,baseline,0.0015,nawi,land_cost_factor
pulp_and_paper,baseline,0.05,nawi,working_capital_factor
pulp_and_paper,baseline,0.001,nawi,salaries_percent
pulp_and_paper,baseline,0.9,nawi,benefits_cost_factor
pulp_and_paper,baseline,0.008,nawi,maintenance_cost_factor
pulp_and_paper,baseline,0.003,nawi,laboratory_cost_factor
pulp_and_paper,baseline,0.002,nawi,insurance_taxes_cost_factor
pulp_and_paper,baseline,0.7,nawi,default_cap_scaling_exp
pulp_and_paper,baseline,0.7,nawi,default_opex_scaling_exp
pulp_and_paper,baseline,0.4,nawi,cap_by_equity
pulp_and_paper,baseline,0.04,nawi,debt_interest_rate
pulp_and_paper,baseline,0.1,nawi,exp_return_on_equity
pulp_and_paper,baseline,3.4,nawi,default_tpec_multiplier
pulp_and_paper,baseline,1.65,nawi,default_tic_multiplier
pulp_and_paper,baseline,0.0005,nawi,salary_cost_factor
pulp_and_paper,baseline,1,nawi,utilization_factor
san_luis,baseline,2020,nawi,basis_year
san_luis,baseline,california,nawi,location_basis
san_luis,baseline,30,nawi,plant_lifetime
san_luis,baseline,0.0015,nawi,land_cost_factor
san_luis,baseline,0.05,nawi,working_capital_factor
san_luis,baseline,0.001,nawi,salaries_percent
san_luis,baseline,0.9,nawi,benefits_cost_factor
san_luis,baseline,0.008,nawi,maintenance_cost_factor
san_luis,baseline,0.003,nawi,laboratory_cost_factor
san_luis,baseline,0.002,nawi,insurance_taxes_cost_factor
san_luis,baseline,0.7,nawi,default_cap_scaling_exp
san_luis,baseline,0.7,nawi,default_opex_scaling_exp
san_luis,baseline,0,nawi,cap_by_equity
san_luis,baseline,0.05,nawi,debt_interest_rate
san_luis,baseline,0.1,nawi,exp_return_on_equity
san_luis,baseline,3.4,nawi,default_tpec_multiplier
san_luis,baseline,1.65,nawi,default_tic_multiplier
san_luis,baseline,0.0005,nawi,salary_cost_factor
san_luis,baseline,1,nawi,utilization_factor
santa_barbara,baseline,2020,nawi,basis_year
santa_barbara,baseline,california,nawi,location_basis
santa_barbara,baseline,20,nawi,plant_lifetime
santa_barbara,baseline,0.0015,nawi,land_cost_factor
santa_barbara,baseline,0.05,nawi,working_capital_factor
santa_barbara,baseline,0.001,nawi,salaries_percent
santa_barbara,baseline,0.9,nawi,benefits_cost_factor
santa_barbara,baseline,0.008,nawi,maintenance_cost_factor
santa_barbara,baseline,0.003,nawi,laboratory_cost_factor
santa_barbara,baseline,0.002,nawi,insurance_taxes_cost_factor
santa_barbara,baseline,0.7,nawi,default_cap_scaling_exp
santa_barbara,baseline,0.7,nawi,default_opex_scaling_exp
santa_barbara,baseline,0,nawi,cap_by_equity
santa_barbara,baseline,0.05,nawi,debt_interest_rate
